"rank","site","site_desc","daily_time_on_site","daily_pageviews_per_visitor","percent_of_traffic_from_search","total_sites_linking_in"
1,"Google.com","Enables users to search the world's information, including webpages, images, and videos. Offers…More unique features and search technology. ",8.25,"8.11","2.60%","2,882,789"
2,"Onclkds.com"," ",1.04,"2.04","1.20%","127"
3,"Savefrom.net","Предоставляет возможность получения прямых ссылок для загрузки файлов с популярных файлообменни…Moreков и медиахостингов. ",2.39,"1.13","5.70%","7,325"
4,"Bbc.com"," ",4.1,"2.68","12.50%","78,414"
5,"Thefuncoolstuff.com"," ",1.02,"1.17","0.90%","39"
6,"Slideshare.net","SlideShare is the world's largest community for sharing presentations. With 50 million monthly …Morevisitors and 90 million pageviews, it is amongst the most visited 250 websites in the world. Besides presentations, SlideShare also supports documents, PDFs, videos and webinars. ",3.17,"2.22","45.70%","161,694"
7,"Linkedin.com","A networking tool to find connections to recommended job candidates, industry experts and busin…Moreess partners. Allows registered users to maintain a list of contact details of people they know and trust in business. ",5.38,"4.38","14.00%","1,623,688"
8,"Facebook.com","A social utility that connects people, to keep up with friends, upload photos, share links and …Morevideos. ",11.09,"4.12","5.90%","6,534,681"
9,"State.gov","Information about the department, its officials, and foreign affairs activities; also webpages …Morefor regular and special programs, consulates, and materials about geography, travel, foreign policy, and related topics. ",9.39,"6.07","21.70%","35,050"
10,"Researchgate.net","Social community for researchers, fostering collaboration and knowledge exchange among research…Moreers worldwide. ",2.36,"2.15","39.20%","13,739"
11,"Tubeunblock.me"," ",16.42,"14.30","23.20%","17"
12,"Youtube.com","User-submitted videos with rating, comments, and contests.",9.13,"5.34","9.90%","2,232,947"
13,"Blogspot.com"," ",2.5,"2.13","26.70%","14,301"
14,"Wordpress.com","Free blogs managed by the developers of the WordPress software. Includes custom design template…Mores, integrated statistics, automatic spam protection and other features. ",2.46,"1.97","38.40%","57,449"
15,"Microsoft.com","Main site for product information, support, and news.",3.1,"2.54","29.20%","409,588"
16,"Amazon.com","Amazon.com seeks to be Earth's most customer-centric company, where customers can find and disc…Moreover anything they might want to buy online, and endeavors to offer its customers the lowest possible prices. Site has numerous personalization features and services including one-click buying, extensive customer and editorial product reviews, gift registries, gift certificates, wish lists, restaurant and movie listings, travel, and photo processing. ",8.03,"8.16","16.10%","633,595"
